release_date,inflation_adjusted_gross
1998-09-04,1409943
1998-09-11,32809442
1998-10-09,21694605
1998-10-16,41062682
1998-11-06,288691833
1998-11-13,21941840
1998-11-20,288981698
1998-11-20,198472008
1998-12-11,28392518
1998-12-25,94139530
1998-12-25,87906042
1999-02-12,61150849
1999-02-26,46145331
1999-03-26,32228598
1999-03-31,63354375
1999-05-14,380218
1999-06-04,56595842
1999-06-16,283900254
1999-07-02,32007656
1999-07-23,161610341
1999-08-06,485424724
1999-08-27,54262148
1999-09-17,295851
1999-09-24,7566363
1999-10-01,14755189
1999-10-15,10111144
1999-11-05,47794214
1999-11-19,404450426
1999-12-08,4609153
1999-12-10,106921374
1999-12-17,94838225
1999-12-24,13180524
2000-01-01,94852354
2000-02-04,2562155
2000-02-11,71228678
2000-03-10,95208344
2000-03-31,42661516
2000-04-14,57925202
2000-05-19,215438985
2000-05-26,89042541
2000-06-09,158970411
2000-06-16,14238144
2000-07-07,108993148
2000-08-04,95070168
2000-08-25,20362201
2000-09-15,7404372
2000-09-29,180742479
2000-11-22,148208901
2000-11-22,104055039
2000-12-15,136789252
2000-12-22,67922002
2001-01-12,44418589
2001-02-16,54656124
2001-04-06,7114869
2001-05-25,295705112
2001-06-08,125188122
2001-06-29,25214223
2001-08-03,161218928
2001-08-24,7450434
2001-10-05,25749730
2001-10-12,35705805
2001-10-26,337782
2001-11-02,416073179
2001-11-21,20700691
2001-12-14,76758193
2002-01-01,36980311
2002-01-01,0
2002-01-18,117745317
2002-01-25,78682079
2002-02-15,70269715
2002-02-19,62480631
2002-03-22,14797862
2002-03-29,109691666
2002-04-05,10537188
2002-05-10,6089874
2002-06-07,43756218
2002-06-21,211506702
2002-07-26,24650121
2002-08-02,330754439
2002-09-20,14338992
2002-09-27,184521151
2002-09-27,9909094
2002-10-11,27789959
2002-11-01,201959095
2002-11-27,55189145
2002-12-13,50624654
2002-12-19,18325463
2003-01-31,73793522
2003-02-07,84537962
2003-02-14,66966883
2003-03-07,185481530
2003-03-21,32298812
2003-04-11,23803108
2003-04-18,94203395
2003-05-02,59743191
2003-05-30,518148559
2003-07-09,426967926
2003-08-06,154090360
2003-08-15,81547672
2003-09-19,29895090
2003-09-26,60944053
2003-10-17,2194759
2003-10-24,119218333
2003-11-26,105775678
2003-12-19,42379650
2003-12-25,9254344
2004-01-16,8812764
2004-02-06,87392478
2004-02-20,39816568
2004-03-05,91340921
2004-03-26,53881593
2004-04-02,67910166
2004-04-09,30416359
2004-05-28,50886144
2004-06-16,32585356
2004-07-02,426246
2004-07-07,70423706
2004-07-30,155021748
2004-08-11,129164207
2004-09-17,29593641
2004-09-24,629502
2004-10-01,101161045
2004-11-05,354488708
2004-11-19,234069353
2004-12-10,32198655
2005-01-28,11740942
2005-02-11,23801835
2005-03-04,148619029
2005-03-18,32064685
2005-04-22,28716947
2005-04-29,67096891
2005-06-10,6194870
2005-06-22,86812798
2005-07-08,33500491
2005-07-29,84088854
2005-08-19,25616292
2005-09-23,117960425
2005-09-30,20162672
2005-10-21,13519621
2005-11-04,177954661
2005-12-09,381557539
2005-12-25,14574087
2006-01-13,54888236
2006-01-27,22044113
2006-01-27,12948025
2006-02-17,105037235
2006-03-10,78667428
2006-03-24,29712825
2006-04-14,48114115
2006-04-28,34634731
2006-05-12,5512647
2006-06-09,314140384
2006-07-07,544817142
2006-08-11,84078780
2006-08-25,74398864
2006-09-29,70801353
2006-10-20,68289913
2006-10-20,30737517
2006-11-03,108694869
2006-11-22,82267038
2006-12-08,64959548
2007-01-12,12985302
2007-02-16,100760721
2007-03-02,206110533
2007-03-30,119860589
2007-03-30,5637048
2007-04-06,8779196
2007-04-27,25202168
2007-05-24,379129960
2007-06-29,252955933
2007-08-03,53619462
2007-09-22,111010758
2007-10-20,58350234
2007-11-21,156074310
2007-12-21,267003525
2008-02-01,76646993
2008-02-14,68118371
2008-03-07,53550960
2008-05-16,166277038
2008-06-27,262771918
2008-08-01,19125841
2008-08-29,264247
2008-09-26,9295171
2008-10-03,110932022
2008-10-17,322979
2008-10-24,106308538
2008-11-21,133702498
2008-12-25,128039679
2009-02-13,49767744
2009-02-27,38174685
2009-03-13,75501997
2009-04-10,89443640
2009-04-22,35981010
2009-05-29,329336681
2009-06-19,184288829
2009-07-24,134246932
2009-08-14,16961607
2009-08-21,1563976
2009-09-10,23064
2009-09-25,43361416
2009-10-02,34509545
2009-11-06,154927105
2009-11-25,116316457
2009-11-25,55503929
2010-01-29,34917330
2010-03-05,357063499
2010-03-26,86264
2010-03-31,67258772
2010-04-22,20751600
2010-05-28,96971361
2010-06-18,443408255
2010-07-14,67473105
2010-08-06,45302137
2010-08-13,51988
2010-09-24,27461121
2010-10-08,63781920
2010-11-24,214388548
2010-12-17,183619259
2011-02-11,106270797
2011-02-18,58574607
2011-03-11,22741603
2011-04-22,16401551
2011-04-22,2984
2011-04-29,10768946
2011-05-20,256263359
2011-06-24,203522177
2011-07-15,28375869
2011-08-10,180404976
2011-08-19,19452402
2011-10-07,90848019
2011-11-23,94189503
2011-12-25,84762149
2012-02-17,20325733
2012-03-09,77372445
2012-04-20,30675725
2012-05-04,660081224
2012-06-22,251292441
2012-06-29,13165822
2012-08-15,54914942
2012-10-05,37363513
2012-11-02,200354959
2012-11-09,192122330
2013-03-08,243434130
2013-05-03,424084233
2013-06-21,278395641
2013-07-02,92597388
2013-08-09,93614037
2013-10-18,3374251
2013-11-08,213962184
2013-11-08,5367415
2013-11-22,414997174
2013-11-22,31787136
2013-12-13,86249969
2014-03-14,44955015
2014-03-21,52807594
2014-04-04,268013076
2014-04-18,18346024
2014-05-10,37607865
2014-05-30,249089809
2014-07-18,61040349
2014-08-01,343771168
2014-08-08,55961409
2014-10-10,69055550
2014-11-07,229249222
2014-12-25,130894237
2015-01-23,12429583
2015-02-20,44480275
2015-03-13,201151353
2015-04-17,16432322
2015-05-01,459005868
2015-05-22,93436322
2015-06-19,356461711
2015-07-17,180202163
2015-10-16,72313754
2015-11-25,123087120
2015-12-18,936662225
2016-01-29,27569558
2016-03-04,341268248
2016-04-15,364001123
2016-04-29,7895708
2016-05-06,408084349
2016-05-27,77042381
2016-06-17,486295561
2016-07-01,55483770
2016-08-12,76233151
2016-09-02,12545979
2016-09-23,8874389
2016-11-04,232532923
2016-11-23,246082029
2016-12-16,529483936
